model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
Semantics_Naive_Average,0.15,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.16,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.17,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.18,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.19,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.2,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.21,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.22,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.23,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.24,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.25,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.26,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.27,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.28,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.29,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.3,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.31,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Naive_Average,0.32,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
